Price,Size,Bedrooms,Parking_Spots,Bathrooms,Condo,IPTU,Neighborhood,City,District
2200,120,3,0,1,947,123,Tijuca,Rio de Janeiro,norte
1300,60,1,0,1,0,0,Engenho De Dentro,Rio de Janeiro,norte
1100,60,2,1,1,774,0,Itanhangá,Rio de Janeiro,oeste
3400,83,2,1,2,1900,159,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
1300,81,2,1,1,350,105,Ilha do Governador,Rio de Janeiro,norte
1500,79,2,1,2,650,85,Méier,Rio de Janeiro,norte
900,62,1,1,1,420,0,Méier,Rio de Janeiro,norte
1250,43,1,0,1,590,0,Centro,Rio de Janeiro,centro
1200,60,2,0,1,20,615,São Cristóvão, Rio de Janeiro,centro
749,46,2,0,1,120,0,Engenheiro Leal,Rio de Janeiro,norte
1300,60,2,0,1,686,62,Méier,Rio de Janeiro,norte
6000,120,2,1,3,2700,796,Leblon,Rio de Janeiro,sul
1100,66,2,1,1,809,65,Praça Seca, Rio de Janeiro,oeste
1400,45,2,1,1,0,0,Rocha Miranda,Rio de Janeiro,norte
1200,53,2,1,1,700,66,Freguesia de Jacarepaguá,Rio de Janeiro,oeste
1600,50,2,0,1,230,80,Tijuca,Rio de Janeiro,norte
1400,58,2,2,1,395,0,Pitangueiras, Rio de Janeiro,norte
1800,60,2,1,1,350,0,Andaraí,Rio de Janeiro,norte
700,45,2,1,1,357,0,Campo Grande,Rio de Janeiro,oeste
900,50,1,0,1,300,0,Todos os Santos,Rio de Janeiro,norte
1650,73,2,0,1,646,0,Rio Comprido,Rio de Janeiro,centro
800,72,2,1,2,220,0,Turiaçu,Rio de Janeiro,norte
1600,57,2,1,2,500,85,Piedade,Rio de Janeiro,norte
1750,73,2,1,1,482,79,Grajaú,Rio de Janeiro,norte
2200,50,1,1,1,1900,550,Barra da Tijuca,Rio de Janeiro,oeste
1200,48,2,1,1,550,62,Rocha,Rio de Janeiro,norte
2950,62,1,0,1,0,24,Tijuca,Rio de Janeiro,norte
900,43,2,1,1,180,0,Turiaçu,Rio de Janeiro,norte
1550,45,1,0,1,380,72,Tijuca,Rio de Janeiro,norte
2700,220,3,3,2,780,170,Vargem Pequena,Rio de Janeiro,oeste
950,46,1,1,1,0,0,Rocha Miranda,Rio de Janeiro,norte
1400,55,2,1,1,12,10,Piedade,Rio de Janeiro,norte
1200,65,2,1,1,300,0,Del Castilho,Rio de Janeiro,norte
3200,35,1,0,1,950,183,Leblon,Rio de Janeiro,sul
2400,50,1,0,1,700,750,Glória,Rio de Janeiro,sul
1100,41,1,1,1,630,0,Riachuelo,Rio de Janeiro,norte
1200,70,2,1,2,0,0,Paciência,Rio de Janeiro,oeste
900,46,1,0,1,140,15,Higienópolis,Rio de Janeiro,norte
2560,73,1,1,1,1100,200,Barra da Tijuca,Rio de Janeiro,oeste
1200,45,2,1,1,500,0,Irajá,Rio de Janeiro,norte
1000,40,1,0,1,0,0,Abolição,Rio de Janeiro,norte
2700,90,3,1,3,1300,166,Tijuca,Rio de Janeiro,norte
2100,90,3,0,2,833,212,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
1000,55,2,0,1,0,0,Cachambi,Rio de Janeiro,norte
1000,35,1,1,1,440,0,Pechincha,Rio de Janeiro,oeste
1500,42,1,0,1,395,0,Tijuca,Rio de Janeiro,norte
2657,56,1,1,1,1100,82,Jacarepaguá,Rio de Janeiro,oeste
900,55,2,0,1,0,0,Taquara,Rio de Janeiro,oeste
1290,34,0,0,1,670,0,Cidade Universitária,Rio de Janeiro,norte
1100,75,2,1,2,360,200,Ramos,Rio de Janeiro,norte
1100,50,1,0,1,150,0,Curicica,Rio de Janeiro,oeste
1650,94,2,1,1,1100,120,Grajaú,Rio de Janeiro,norte
950,45,1,0,1,220,0,Taquara,Rio de Janeiro,oeste
2000,178,1,2,1,1160,416,Méier,Rio de Janeiro,norte
1650,300,4,4,4,0,92,Vila Kosmos,Rio de Janeiro,norte
1100,50,2,1,1,500,0,Méier,Rio de Janeiro,norte
3600,112,3,2,3,2042,289,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
800,80,2,0,1,429,0,Méier, Rio de Janeiro,norte
1100,70,3,1,1,444,0,Quintino Bocaiuva,Rio de Janeiro,norte
800,80,2,0,1,375,33,Santa Cruz,Rio de Janeiro,oeste
1300,70,1,1,1,0,0,Taquara,Rio de Janeiro,oeste
3500,172,3,1,3,154,0,Vargem Grande,Rio de Janeiro,oeste
1200,70,3,0,2,200,0,Engenho Novo,Rio de Janeiro,norte
4200,200,2,1,2,736,142,Freguesia,Rio de Janeiro,norte
800,44,2,1,1,215,0,Cosmos,Rio de Janeiro,oeste
900,45,2,0,1,300,0,Campo Grande,Rio de Janeiro,oeste
1550,42,1,0,1,115,34,Tijuca,Rio de Janeiro,norte
1300,53,2,0,2,375,59,Méier,Rio de Janeiro,norte
1150,60,3,0,1,170,0,Campo Grande,Rio de Janeiro,oeste
1200,60,2,0,1,150,120,Tanque,Rio de Janeiro,oeste
1150,53,2,1,1,440,54,Freguesia,Rio de Janeiro,norte
1050,62,2,0,1,0,0,Del Castilho,Rio de Janeiro,norte
900,52,2,0,1,250,0,Encantado,Rio de Janeiro,norte
1100,70,2,0,1,250,0,Penha Circular,Rio de Janeiro,norte
1150,43,2,0,1,336,10,Portuguesa,Rio de Janeiro,norte
1000,72,2,0,1,100,0,Bonsucesso,Rio de Janeiro,norte
3800,90,3,1,3,1078,215,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
750,50,2,0,1,100,0,Campo Grande,Rio de Janeiro,oeste
1250,300,0,0,0,0,0,Campo Grande, Rio de Janeiro,oeste
1000,50,2,1,1,0,0,Marechal Hermes,Rio de Janeiro,norte
4500,270,3,1,4,15,113,Tijuca,Rio de Janeiro,norte
1500,49,2,1,1,390,0,Anil,Rio de Janeiro,oeste
1500,73,2,0,2,50,0,Rio Comprido,Rio de Janeiro,centro
2300,55,2,1,2,495,110,Pechincha,Rio de Janeiro,oeste
1200,65,2,0,1,466,0,Higienópolis,Rio de Janeiro,norte
1000,50,2,1,1,470,0,Engenho De Dentro,Rio de Janeiro,norte
1000,50,1,0,1,150,0,Curicica,Rio de Janeiro,oeste
1100,45,1,0,2,400,35,Centro,Rio de Janeiro,centro
1500,80,3,1,2,750,70,Sampaio,Rio de Janeiro,norte
2300,55,1,1,1,400,74,Jardim Guanabara, Rio de Janeiro,norte
2500,107,3,0,2,600,187,Tijuca,Rio de Janeiro,norte
1500,80,3,1,2,750,70,Sampaio,Rio de Janeiro,norte
